#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB190824A   |    922107    | 1.253167e-06 | 1.160777e-06 | 1.347841e-06 | 2.166451e-06 | 2.070661e-06 | 2.262032e-06 | 2.858834e-06 | 2.692458e-06 | 3.025024e-06 | 2.078830e-06 | 1.890075e-06 | 2.275196e-06 | 7.681019e-06 | 6.749767e-06 | 8.697787e-06 | 8.357162e-06 | 7.965057e-06 | 8.751628e-06 | 1.395947e-05 | 1.289730e-05 | 1.508964e-05 | 186.5 | -71.888000 | 114.640000 |  
GRB190821A   |    921722    | 5.294557e-07 | 4.875730e-07 | 5.724000e-07 | 7.123605e-07 | 6.775473e-07 | 7.471705e-07 | 7.055203e-07 | 6.502193e-07 | 7.612013e-07 | 4.095431e-07 | 3.598982e-07 | 4.623274e-07 | 1.257997e-06 | 1.063603e-06 | 1.475875e-06 | 2.356892e-06 | 2.231000e-06 | 2.483589e-06 | 3.205307e-06 | 2.957670e-06 | 3.469522e-06 | 62.8 | -3.308000 | 59.492000 |  
GRB190816A   |    920783    | 1.493347e-06 | 1.346265e-06 | 1.644866e-06 | 2.552469e-06 | 2.401268e-06 | 2.703091e-06 | 3.324762e-06 | 3.062602e-06 | 3.586250e-06 | 2.393374e-06 | 2.100877e-06 | 2.701784e-06 | 8.765781e-06 | 7.349886e-06 | 1.036002e-05 | 9.763837e-06 | 9.148515e-06 | 1.038342e-05 | 1.613655e-05 | 1.450777e-05 | 1.790526e-05 | 548 | -206.480000 | 341.552000 |  
GRB190727B   |    916733    | 2.195050e-06 | 2.113949e-06 | 2.277584e-06 | 4.253285e-06 | 4.162215e-06 | 4.344246e-06 | 6.387849e-06 | 6.272844e-06 | 6.502709e-06 | 5.134220e-06 | 4.982123e-06 | 5.287793e-06 | 2.075221e-05 | 1.985795e-05 | 2.167526e-05 | 1.797026e-05 | 1.767765e-05 | 1.826352e-05 | 3.358880e-05 | 3.266514e-05 | 3.453460e-05 | 60.44 | -21.488000 | 38.956000 |  
GRB190719C   |    915381    | 8.175428e-07 | 7.547976e-07 | 8.819023e-07 | 1.358190e-06 | 1.296584e-06 | 1.419746e-06 | 1.712815e-06 | 1.597204e-06 | 1.828860e-06 | 1.202321e-06 | 1.075376e-06 | 1.336166e-06 | 4.308841e-06 | 3.708861e-06 | 4.976231e-06 | 5.090852e-06 | 4.826813e-06 | 5.357603e-06 | 8.197293e-06 | 7.501887e-06 | 8.948711e-06 | 202.4 | -0.280000 | 202.124000 |  
GRB190718A   |    915091    | 7.201656e-28 | 7.200000e+02 | 7.200000e-28 | 7.200000e-28 | 7.200000e+02 | 7.200000e-28 | 7.211614e-28 | 7.200000e+02 | 7.203319e-28 | 7.236569e-28 | 7.200000e+02 | 7.216596e-28 | 7.208294e-28 | 7.200000e+02 | 3.027628e-06 | 7.208294e-28 | 7.200000e+02 | 7.201656e-28 | 8.030311e-28 | 7.200000e+02 | 3.034887e-06 | 720 | 0.568000 | 720.568000 |  
GRB190706B   |    913302    | 1.278266e-07 | 1.005822e-07 | 1.559916e-07 | 1.877506e-07 | 1.591810e-07 | 2.162974e-07 | 2.056749e-07 | 1.557117e-07 | 2.566737e-07 | 1.292919e-07 | 8.522584e-08 | 1.813975e-07 | 4.228159e-07 | 2.489839e-07 | 6.619746e-07 | 6.505362e-07 | 5.336312e-07 | 7.703736e-07 | 9.440419e-07 | 7.087634e-07 | 1.229763e-06 | 51.58 | -0.248000 | 51.336000 |  
GRB190701A   |    912310    | 1.756891e-07 | 1.398604e-07 | 2.127379e-07 | 2.525077e-07 | 2.167578e-07 | 2.882270e-07 | 2.698080e-07 | 2.057381e-07 | 3.348920e-07 | 1.663086e-07 | 1.102465e-07 | 2.326188e-07 | 5.353832e-07 | 3.173180e-07 | 8.349582e-07 | 8.643202e-07 | 7.177524e-07 | 1.014436e-06 | 1.233402e-06 | 9.395169e-07 | 1.590541e-06 | 54.98 | 35.016000 | 89.992000 |  
GRB190630C   |    912239    | 4.892765e-07 | 4.459070e-07 | 5.336228e-07 | 6.810425e-07 | 6.418215e-07 | 7.203015e-07 | 7.014138e-07 | 6.352496e-07 | 7.683771e-07 | 4.199662e-07 | 3.600844e-07 | 4.845340e-07 | 1.321339e-06 | 1.082815e-06 | 1.593949e-06 | 2.291682e-06 | 2.140446e-06 | 2.444637e-06 | 3.193040e-06 | 2.885588e-06 | 3.526503e-06 | 52.15 | -1.920000 | 50.232000 |  
GRB190630B   |    912102    | 3.173109e-08 | 2.443683e-08 | 3.949162e-08 | 6.366561e-08 | 5.459274e-08 | 7.261476e-08 | 9.945918e-08 | 8.190770e-08 | 1.168409e-07 | 8.239958e-08 | 6.086602e-08 | 1.065037e-07 | 3.425508e-07 | 2.268218e-07 | 4.947604e-07 | 2.772522e-07 | 2.348523e-07 | 3.203797e-07 | 5.374090e-07 | 4.066164e-07 | 6.993506e-07 | 6.388 | -1.684000 | 4.704000 |  
